Name, Entropy, A Size, B Size, Elements Per Second, Total Time
Serial Merge, 28, 5000, 5000, 153412736, 0.00006518363807117566
Serial Merge Branchless, 28, 5000, 5000, 247597648, 0.00004038810584461316
Bitonic Merge, 28, 5000, 5000, 455407616, 0.00002195835077145603
Serial Merge, 32, 5000, 5000, 150118256, 0.00006661414954578504
Serial Merge Branchless, 32, 5000, 5000, 243713184, 0.00004103183891857043
Bitonic Merge, 32, 5000, 5000, 445728384, 0.00002243518792965915
Serial Merge, 28, 5000, 5000, 164224912, 0.00006089210364734754
Serial Merge Branchless, 28, 5000, 5000, 257793728, 0.00003879070209222846
Bitonic Merge, 28, 5000, 5000, 521031552, 0.00001919269561767578
Serial Merge, 32, 5000, 5000, 166111056, 0.00006020069122314453
Serial Merge Branchless, 32, 5000, 5000, 257952272, 0.00003876686241710559
Bitonic Merge, 32, 5000, 5000, 523633472, 0.00001909732782223728
Serial Merge, 28, 5000, 5000, 140842992, 0.00007100104994606227
Serial Merge Branchless, 28, 5000, 5000, 234843440, 0.00004258155968273059
Bitonic Merge, 28, 5000, 5000, 432402464, 0.00002312660217285156
Serial Merge, 32, 5000, 5000, 165717264, 0.00006034374382579699
Serial Merge Branchless, 32, 5000, 5000, 257635376, 0.00003881454540533014
Bitonic Merge, 32, 5000, 5000, 523633472, 0.00001909732782223728
Serial Merge, 28, 5000, 5000, 156445504, 0.00006392002251232043
Serial Merge Branchless, 28, 5000, 5000, 258747920, 0.00003864765312755480
Bitonic Merge, 28, 5000, 5000, 521031552, 0.00001919269561767578
Serial Merge, 32, 5000, 5000, 134217728, 0.00007450580596923828
Serial Merge Branchless, 32, 5000, 5000, 228946736, 0.00004367828296381049
Bitonic Merge, 32, 5000, 5000, 386215840, 0.00002589225732663181
Serial Merge, 28, 5000, 5000, 164676256, 0.00006072521136957221
Serial Merge Branchless, 28, 5000, 5000, 257319264, 0.00003886222839355469
Bitonic Merge, 28, 5000, 5000, 521679584, 0.00001916885412356351
Serial Merge, 32, 5000, 5000, 168581344, 0.00005931854320806451
Serial Merge Branchless, 32, 5000, 5000, 262965776, 0.00003802776336669922
Bitonic Merge, 32, 5000, 5000, 482103904, 0.00002074241638183594
Serial Merge, 28, 5000, 5000, 164870448, 0.00006065368506824598
Serial Merge Branchless, 28, 5000, 5000, 257952272, 0.00003876686241710559
Bitonic Merge, 28, 5000, 5000, 522980576, 0.00001912116931634955
Serial Merge, 32, 5000, 5000, 165260208, 0.00006051063610357232
Serial Merge Branchless, 32, 5000, 5000, 257952272, 0.00003876686241710559
Bitonic Merge, 32, 5000, 5000, 505337824, 0.00001978874206542969
Serial Merge, 28, 5000, 5000, 166176864, 0.00006017684791004285
Serial Merge Branchless, 28, 5000, 5000, 257635376, 0.00003881454540533014
Bitonic Merge, 28, 5000, 5000, 528916000, 0.00001890659405034967
Serial Merge, 32, 5000, 5000, 167236992, 0.00005979538036626764
Serial Merge Branchless, 32, 5000, 5000, 256689360, 0.00003895759437000379
Bitonic Merge, 32, 5000, 5000, 517176832, 0.00001933574640133884
Serial Merge, 28, 5000, 5000, 146041216, 0.00006847381882835180
Serial Merge Branchless, 28, 5000, 5000, 245280928, 0.00004076957702636719
Bitonic Merge, 28, 5000, 5000, 448588672, 0.00002229213714599609
Serial Merge, 32, 5000, 5000, 130055936, 0.00007688999176025391
Serial Merge Branchless, 32, 5000, 5000, 232242736, 0.00004305839684093371
Bitonic Merge, 32, 5000, 5000, 361577920, 0.00002765655517578125
Serial Merge, 28, 5000, 5000, 166308640, 0.00006012916492181830
Serial Merge Branchless, 28, 5000, 5000, 260031248, 0.00003845691753667779
Bitonic Merge, 28, 5000, 5000, 522980576, 0.00001912116931634955
Serial Merge, 32, 5000, 5000, 165586416, 0.00006039142681402154
Serial Merge Branchless, 32, 5000, 5000, 253892496, 0.00003938674853998236
Bitonic Merge, 32, 5000, 5000, 518455360, 0.00001928806341311429
Serial Merge, 28, 5000, 5000, 132857264, 0.00007526874833274633
Serial Merge Branchless, 28, 5000, 5000, 234975008, 0.00004255771636962891
Bitonic Merge, 28, 5000, 5000, 388002240, 0.00002577304803708103
Serial Merge, 32, 5000, 5000, 167638048, 0.00005965232776361518
Serial Merge Branchless, 32, 5000, 5000, 256689360, 0.00003895759437000379
Bitonic Merge, 32, 5000, 5000, 529583872, 0.00001888275073724799
Serial Merge, 28, 500, 500, 130257888, 0.00000767707842896925
Serial Merge Branchless, 28, 500, 500, 216201248, 0.00000462532034362084
Bitonic Merge, 28, 500, 500, 335544320, 0.00000298023223876953
Serial Merge, 32, 500, 500, 126716136, 0.00000789165460446384
Serial Merge Branchless, 32, 500, 500, 212908832, 0.00000469684619019972
Bitonic Merge, 32, 500, 500, 371177344, 0.00000269412998932239
Serial Merge, 28, 500, 500, 167103744, 0.00000598430642639869
Serial Merge Branchless, 28, 500, 500, 251155920, 0.00000398159045289503
Bitonic Merge, 28, 500, 500, 460912512, 0.00000216960916077369
Serial Merge, 32, 500, 500, 167103744, 0.00000598430642639869
Serial Merge Branchless, 32, 500, 500, 260515776, 0.00000383853921448463
Bitonic Merge, 32, 500, 500, 451000416, 0.00000221729283111927
Serial Merge, 28, 500, 500, 166440624, 0.00000600814837525832
Serial Merge Branchless, 28, 500, 500, 262144000, 0.00000381469726562500
Bitonic Merge, 28, 500, 500, 476625440, 0.00000209808354156849
Serial Merge, 32, 500, 500, 169809872, 0.00000588893908570753
Serial Merge Branchless, 32, 500, 500, 251155920, 0.00000398159045289503
Bitonic Merge, 32, 500, 500, 451000416, 0.00000221729283111927
Serial Merge, 28, 500, 500, 167103744, 0.00000598430642639869
Serial Merge Branchless, 28, 500, 500, 249660960, 0.00000400543194700731
Bitonic Merge, 28, 500, 500, 476625440, 0.00000209808354156849
Serial Merge, 32, 500, 500, 163840000, 0.00000610351571594947
Serial Merge Branchless, 32, 500, 500, 254200240, 0.00000393390655517578
