Name, Entropy, A Size, B Size, Elements Per Second, Total Time
Serial Merge, 28, 500, 500, 161319392, 0.00000619888305664062
Serial Merge Branchless, 28, 500, 500, 255750256, 0.00000391006460631615
Bitonic Merge, 28, 500, 500, 446202560, 0.00000224113455260522
Serial Merge, 32, 500, 500, 157680592, 0.00000634193429505103
Serial Merge Branchless, 32, 500, 500, 257319280, 0.00000388622265745653
Bitonic Merge, 32, 500, 500, 482103904, 0.00000207424159270886
Serial Merge, 28, 5000, 5000, 163840000, 0.00006103515625000000
Serial Merge Branchless, 28, 5000, 5000, 257319264, 0.00003886222839355469
Bitonic Merge, 28, 5000, 5000, 477167680, 0.00002095699346682522
Serial Merge, 32, 5000, 5000, 167037200, 0.00005986690666759387
Serial Merge Branchless, 32, 5000, 5000, 253892496, 0.00003938674853998236
Bitonic Merge, 32, 5000, 5000, 525601984, 0.00001902580333990045
Serial Merge, 28, 50000, 50000, 172187040, 0.00058076379355043173
Serial Merge Branchless, 28, 50000, 50000, 261718704, 0.00038208960904739797
Bitonic Merge, 28, 50000, 50000, 551301824, 0.00018138885207008570
Serial Merge, 32, 50000, 50000, 156299760, 0.00063979625701904297
Serial Merge Branchless, 32, 50000, 50000, 243232656, 0.00041112900362350047
Bitonic Merge, 32, 50000, 50000, 451437312, 0.00022151469602249563
